# pin=93b00b89ef425a9c1bac0d0b317dfc49c930ac99
# tip=7366ac128bdf95f45e6734f412b49a4031800169
path	change	bucket	note
skills/poteto-mode/SKILL.md	M	port	Prose density plus two new principle leaves and evidence-or-label rule. Keep spawn_subagent, pstack:<role>, HARNESS.md. Do not copy Fable slugs, AskQuestion, Task, cursor-team-kit/deslop, or Cursor /loop.
skills/poteto-mode/playbooks/authoring-a-skill.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/autonomous-run.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/autopilot-full.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/autopilot-stack.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/babysit.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/bug-fix.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/eval.md	M	port	Prose density. Keep Grok transcript path and arena spawn. Do not copy ~/.cursor/projects glob as live.
skills/poteto-mode/playbooks/feature.md	M	port	Prose density. Keep spawn_subagent pstack:feature and pstack:independent-verifier. Do not copy Task or Fable slugs.
skills/poteto-mode/playbooks/hillclimb.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/investigation.md	M	port	Prose density. Keep how/why routing. No host spawn rewrite.
skills/poteto-mode/playbooks/multi-phase-plan.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/opening-a-pr.md	M	port	Size/stack readiness rewrite plus prose. Keep spawn_subagent. Do not copy Task or cloud-agent draft fields.
skills/poteto-mode/playbooks/orchestrate.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/pause-safely.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/perf-issue.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/prototype.md	M	port	Prose density. Keep Grok spawn mapping. Do not copy Cursor panel slugs.
skills/poteto-mode/playbooks/refactoring.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/runtime-forensics.md	M	port	Prose density. Shared forensics intent. No Cursor packaging.
skills/poteto-mode/playbooks/session-pickup.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/shipping.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/trace-forensics.md	M	port	Prose density. Shared forensics intent. No Cursor packaging.
skills/poteto-mode/playbooks/visual-parity.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/poteto-mode/playbooks/worktree-cleanup.md	M	port	Prose density. Keep worktree-audit.sh as Codex surface. Do not copy Cursor Application Support cache as a Grok live path.
skills/why/SKILL.md	M	port	Collapse posture, roster, and output into pointers. Keep pstack:why-investigators, pstack:why-synthesizer, grok inspect. No generalPurpose or Fable.
skills/why/references/epistemics.md	M	port	Sentence splits on confidence phrasing.
skills/why/references/investigator-prompt.md	M	port	Sentence splits. Shared investigator loop.
skills/why/references/source-playbook.md	M	port	Sentence split. Adapt playbooks for other MCPs.
skills/why/references/sources/databricks.md	M	port	Sentence splits on warehouse orientation.
skills/why/references/sources/datadog.md	M	port	Sentence splits on runtime record.
skills/why/references/sources/incident-postmortem.md	M	port	Semicolon to comma in Datadog and Sentry bullets.
skills/why/references/sources/linear.md	M	port	Sentence splits on issue tree and quotes.
skills/why/references/sources/notion.md	M	port	Sentence splits on fetch and pitfalls.
skills/why/references/sources/sentry.md	M	port	Sentence splits on Seer and correlation pitfalls.
skills/why/references/sources/slack.md	M	port	Sentence splits on ephemeral source and DMs.
skills/why/references/synthesizer-prompt.md	M	port	Sentence splits. Shared synthesizer template.
.cursor-plugin/plugin.json	M	skip	Cursor packaging. Version 0.14.8 to 0.15.1.
skills/automate-me/SKILL.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/no-comments/SKILL.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/principle-build-the-lever/SKILL.md	M	port	Density pass. Shared lever principle.
skills/principle-fix-root-causes/SKILL.md	M	port	Symptom-fix wording. Density pass.
skills/principle-laziness-protocol/SKILL.md	M	port	Drop over-engineering lead-in. Prime directive becomes The test.
skills/principle-model-the-domain/SKILL.md	M	port	Sentence splits. tell to sign.
skills/principle-redesign-from-first-principles/SKILL.md	M	port	Drop day-one sentence. Density pass.
skills/principle-subtract-before-you-add/SKILL.md	M	port	dead weight to dead code. Drop out-of-spec validators aside.
skills/recall/SKILL.md	M	port	Density pass. Keep session transcript path. Do not take ~/.cursor/projects glob.
skills/swarm/SKILL.md	M	port	Drop output-path example. Keep spawn_subagent, pstack:swarm-workers, /tmp/swarm-<slug>. No generalPurpose or Fable.
skills/technical-writing/SKILL.md	M	port	Propose unslop offenders instead of editing. PR briefing rule. Drop layer-by-layer example.
docs/guide/01-setup.md	M	audit	Grok setup/install/sandbox. Merge principle-count and first-todo wording. Do not overwrite host pages.
docs/guide/02-poteto-mode.md	M	audit	Grok router map. Merge 23-principle index. Keep spawn_subagent.
docs/guide/03-understand.md	M	audit	Grok how/why pages. Merge density pass. Keep how-critics.
docs/guide/08-principles.md	M	port	Count 21 to 23. Add attack-the-premise and test-behavior-not-implementation.
docs/guide/README.md	M	audit	Grok guide index including pages 11-13. Merge 23-principle names.
skills/reflect/SKILL.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/reflect/references/divergent-reviewer.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/reflect/references/judgment-reviewer.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/reflect/references/synthesizer.md	M	port	Sentence split. Parent still applies Accepted edits.
skills/reflect/references/tooling-reviewer.md	M	audit	Grok spawn already mapped. 0.15.1 density not copied this refresh.
skills/typescript-best-practices/SKILL.md	M	port	Trim type-system-discipline lead-in and unknown-over-any row.
